9093,8600,",",//,[,0,]
4321,4200,",",//,[,1,]
716,450,",",//,[,2,]
429,450,",",//,[,3,]
691,450,",",//,[,4,]
464,450,",",//,[,5,]
781,450,",",//,[,6,]
340,450,",",//,[,7,]
524,450,",",//,[,8,]
1631,1200,",",//,[,9,]
631,450,",",//,[,10,]
1587,1200,",",//,[,11,]
733,450,",",//,[,12,]
1536,1200,",",//,[,13,]
781,450,",",//,[,14,]
339,450,",",//,[,15,]
539,450,",",//,[,16,]
706,450,",",//,[,17,]
420,450,",",//,[,18,]
1620,1200,",",//,[,19,]
620,450,",",//,[,20,]
1599,1200,",",//,[,21,]
722,450,",",//,[,22,]
1538,1200,",",//,[,23,]
551,450,",",//,[,24,]
693,450,",",//,[,25,]
423,450,",",//,[,26,]
697,450,",",//,[,27,]
464,450,",",//,[,28,]
780,450,",",//,[,29,]
340,450,",",//,[,30,]
1587,1200,",",//,[,31,]
732,450,",",//,[,32,]
1539,1200,",",//,[,33,]
537,450,",",//,[,34,]
709,450,",",//,[,35,]
417,450,",",//,[,36,]
1620,1200,",",//,[,37,]
620,450,",",//,[,38,]
528,450,",",//,[,39,]
717,450,",",//,[,40,]
1540,1200,",",//,[,41,]
781,450,",",//,[,42,]
338,450,",",//,[,43,]
521,450,",",//,[,44,]
724,450,",",//,[,45,]
403,450,",",//,[,46,]
552,450,",",//,[,47,]
629,450,",",//,[,48,]
491,450,",",//,[,49,]
629,450,",",//,[,50,]
1562,1200,",",//,[,51,]
596,450,",",//,[,52,]
627,450,",",//,[,53,]
780,450,",",//,[,54,]
1539,1200,",",//,[,55,]
386,450,",",//,[,56,]
555,450,",",//,[,57,]
641,450,",",//,[,58,]
1550,1200,",",//,[,59,]
769,450,",",//,[,60,]
1540,1200,",",//,[,61,]
780,450,",",//,[,62,]
1539,1200,",",//,[,63,]
433,450,",",//,[,64,]
1594,1200,",",//,[,65,]
633,450,",",//,[,66,]
0,0,",",//,[,67,]
0,0,",",//,[,68,]
0,0,",",//,[,69,]
0,0,",",//,[,70,]
0,0,",",//,[,71,]
0,0,",",//,[,72,]
0,0,",",//,[,73,]
0,0,",",//,[,74,]
0,0,",",//,[,75,]
0,0,",",//,[,76,]
0,0,",",//,[,77,]
0,0,",",//,[,78,]
0,0,",",//,[,79,]
0,0,",",//,[,80,]
0,0,",",//,[,81,]
0,0,",",//,[,82,]
0,0,",",//,[,83,]
0,0,",",//,[,84,]
0,0,",",//,[,85,]
0,0,",",//,[,86,]
0,0,",",//,[,87,]
0,0,",",//,[,88,]
0,0,",",//,[,89,]
0,0,",",//,[,90,]
0,0,",",//,[,91,]
0,0,",",//,[,92,]
0,0,",",//,[,93,]
0,0,",",//,[,94,]
0,0,",",//,[,95,]
